#CONTEXT	START	END	MNEMONIC_ZEQER	MNEMONIC_SEQ64	MNEMONIC_ZELDARET	SIZE	PARAM_COUNT	SERFMT	CMDFMT	FLAGS	ENUM
A	0xf0	0xf0	nlfree	unreservenotes	freenotelist	1	0	X	;	0x10007	UNRESERVE_NOTES
A	0xf1	0xf1	nlalloc	reservenotes	allocnotelist	2	1	1	%d	0x10007	RESERVE_NOTES
A	0xf2	0xf2	rbltz	rbltz	rbltz	2	1	1	%r	0x48007	BRANCH_IF_LTZ_REL
A	0xf3	0xf3	rbeqz	rbeqz	rbeqz	2	1	1	%r	0x48007	BRANCH_IF_EQZ_REL
A	0xf4	0xf4	rjump	rjump	rjump	2	1	1	%r	0x44007	BRANCH_ALWAYS_REL
A	0xf5	0xf5	bgez	bgez	bgez	3	1	2	%r	0x48007	BRANCH_IF_GTEZ
A	0xf6	0xf6	break	break	break	1	0	X	;	0x01007	BREAK
A	0xf7	0xf7	loopend	loopend	loopend	1	0	X	;	0x05007	LOOP_END
A	0xf8	0xf8	loop	loop	loop	2	1	1	%d	0x00007	LOOP_START
A	0xf9	0xf9	bltz	bltz	bltz	3	1	2	%r	0x48007	BRANCH_IF_LTZ
A	0xfa	0xfa	beqz	beqz	beqz	3	1	2	%r	0x48007	BRANCH_IF_EQZ
A	0xfb	0xfb	jump	jump	jump	3	1	2	%r	0x44007	BRANCH_ALWAYS
A	0xfc	0xfc	call	call	call	3	1	2	%r	0x42007	CALL
A	0xfd	0xfd	delay	delay	delay	2	1	V	%d	0x00e0f	WAIT
A	0xfe	0xfe	yield	yield	delay1	1	0	X	;	0x00e07	YIELD
A	0xff	0xff	end	end	end	1	0	X	;	0x01007	END_READ
S	0x00	0x0f	chtest	testchan	testchan	1	1	L	%d	0x10004	TEST_CHANNEL
S	0x40	0x4f	chstop	stopchan	stopchan	1	1	L	%d	0x10004	STOP_CHANNEL
S	0x50	0x5f	subio	subio	subio	1	1	L	%d	0x10004	SUBTRACT_IO_S
S	0x60	0x6f	ldbank	loadbank	ldres	3	3	L11	%d;%d;%d	0x10004	LOAD_BANK
S	0x70	0x7f	stio	stio	stio	1	1	L	%d	0x10004	STORE_IO_S
S	0x80	0x8f	ldio	ldio	ldio	1	1	L	%d	0x10004	LOAD_IO_S
